250131113314,0.993,-9.573,-0.674,1
250131113315,0.840,-9.475,-0.208,0
250131113316,0.864,-9.481,-0.208,0
250131113317,0.840,-9.518,-0.215,0
250131113327,0.827,-9.407,-0.362,0
250131113328,0.840,-9.444,-0.282,0
250131113329,0.846,-9.493,-0.294,0
250131113330,0.846,-9.493,-0.337,0
250131113353,0.858,-9.487,-0.539,0
250131113354,0.833,-9.487,-0.545,0
250131113355,0.791,-9.463,-0.527,0
250131113356,0.772,-9.438,-0.619,0
250131113429,-0.147,-9.530,-0.355,0
250131113430,-0.172,-9.763,-0.159,1
250131113432,-0.196,-9.567,-0.306,0
250131113433,-0.178,-9.518,-0.306,0
250131113434,-0.202,-9.530,-0.325,0
250131113435,-0.184,-9.548,-0.319,0
250131113445,-0.116,-9.365,-0.257,0
250131113446,-0.153,-9.604,-0.074,0
250131113447,-0.153,-9.561,-0.184,0
250131113448,-0.159,-9.548,-0.165,0
250131113500,-0.282,-9.530,0.264,0
250131113501,-0.276,-9.530,0.184,0
250131113502,-0.245,-9.530,0.221,0
250131113503,-0.270,-9.536,0.215,0
250131113517,-0.343,-9.548,0.398,0
250131113518,-0.245,-9.524,0.533,0
250131113519,-0.251,-9.506,0.509,0
250131113520,-0.325,-9.426,0.699,0
250131113521,-0.496,-9.665,0.821,2
250131113522,-0.460,-9.659,0.772,0
250131113523,-0.429,-9.518,0.815,0
250131113524,-0.417,-9.365,0.876,0
250131113531,-0.398,-9.211,1.060,0
250131113533,-0.337,-9.493,0.791,0
250131113534,-0.098,-9.463,0.999,0
250131113535,-0.313,-9.309,1.213,0
250131113539,-1.863,-8.672,0.772,13
250131113540,1.189,-2.562,8.997,6
250131113541,-3.965,4.688,5.565,8
250131113542,-3.230,7.256,-4.995,6
250131113543,0.049,0.919,-9.095,2
250131113544,-2.415,-0.264,-9.965,9
250131113545,-1.495,-0.165,-9.628,0
250131113546,-1.489,-0.098,-9.512,0
250131113547,-1.465,-0.116,-9.653,0
250131113548,-1.354,-0.061,-9.518,0
250131113549,-0.803,0.404,-9.751,3
250131113550,-0.313,0.153,-9.898,0
250131113551,-0.319,0.141,-9.524,1
250131113552,-0.282,0.190,-9.916,0
250131113553,-0.325,0.123,-9.677,0
250131113554,-0.257,0.208,-9.800,0
250131113555,-0.288,0.165,-9.843,0
250131113556,-0.282,0.153,-9.818,0
250131113648,-0.282,0.190,-9.843,0
250131113649,-0.288,0.172,-9.824,0
250131113650,-0.288,0.159,-9.830,0
250131113651,-0.313,0.172,-9.836,0
250131113855,-0.294,0.196,-9.879,0
250131113856,-0.282,0.153,-9.879,0
250131113857,-0.270,0.178,-9.843,0
250131113858,-0.227,0.300,-9.806,0
250131113859,-0.294,0.172,-9.861,0
250131113900,-0.288,0.141,-9.806,0
250131113901,-0.325,0.172,-9.843,0
250131113902,-0.355,0.172,-9.702,0
250131113938,-0.264,0.184,-9.806,0
250131113939,-0.282,0.153,-9.855,0
250131113940,-0.313,0.141,-9.800,0
250131113941,-0.282,0.135,-9.855,0
250131114019,-0.294,0.159,-9.885,0
250131114020,-0.282,0.159,-9.861,0
250131114021,-0.313,0.123,-9.898,0
250131114022,-0.306,0.129,-9.830,0
250131114050,-0.227,0.319,-9.977,1
250131114051,-0.331,0.147,-9.689,0
250131114052,-0.313,0.165,-9.800,0
250131114053,-0.331,0.080,-9.843,0
250131114054,-0.313,0.190,-9.941,2
250131114055,-0.300,0.178,-9.800,0
250131114056,-0.300,0.153,-9.873,0
250131114057,-0.325,0.141,-9.892,0
250131114058,-0.325,0.178,-9.867,0
250131114105,-0.282,0.153,-9.916,0
250131114106,-0.343,0.165,-9.769,0
250131114107,-0.325,0.049,-10.241,6
250131114108,-0.208,0.343,-9.555,1
250131114109,-0.809,-1.581,-6.797,6
250131114110,-0.153,-8.703,-0.472,9
250131114111,-1.256,-9.279,-0.883,0
250131114112,-1.250,-9.322,-1.079,0
250131114113,-1.226,-9.438,-1.250,0
250131114114,-1.220,-8.985,0.159,1
250131114115,-1.023,-0.294,9.910,4
